application_id,age,emp_type,emp_exp_years,annual_income,additional_income,loan_amount,loan_term_months,loan_purpose,existing_debt,monthly_emi,credit_score,previous_defaults,repayment_status,defaulted_within_12_months
APP-10023,46,salaried,20,1558278,0,354267,12,vehicle,600341,50817,402,0,poor,1
APP-10024,29,other,1,1324603,102704,1887879,120,business,0,17305,841,0,excellent,0
APP-10025,40,other,3,863257,76117,2370388,24,education,230861,115696,651,0,good,1
APP-10026,53,salaried,3,687127,0,1210480,12,home,147174,115456,568,0,fair,1
APP-10027,56,salaried,4,925178,0,1598604,60,business,143636,33695,342,1,poor,1
APP-10028,43,salaried,7,731147,233058,2653243,84,personal,0,34744,542,1,poor,1
APP-10029,47,salaried,23,1693286,0,1776850,120,other,0,16287,554,0,poor,1
APP-10030,45,self,27,2274217,261331,1516573,36,personal,702094,67791,497,1,poor,1
APP-10031,38,salaried,16,1976372,0,2299051,36,home,283903,78922,482,1,poor,1
APP-10032,27,salaried,5,1615658,0,2195063,12,vehicle,0,201214,494,1,poor,1
APP-10033,54,other,34,1126425,56686,2836014,36,business,899208,114130,427,2,poor,1
APP-10034,63,salaried,25,1540067,0,854635,48,other,0,19585,478,1,poor,1
APP-10035,21,salaried,1,2103081,0,2594523,84,education,473638,48447,518,0,poor,1
APP-10036,63,salaried,32,1705881,143138,2871909,36,personal,0,87752,450,0,poor,1
APP-10037,60,self,4,2210153,0,2691427,60,personal,0,49342,693,0,good,0
APP-10038,65,salaried,6,2083192,291559,1998463,12,business,899545,210678,424,1,poor,1
APP-10039,56,salaried,28,2417193,0,2347941,48,personal,0,53806,786,0,excellent,0
APP-10040,61,salaried,33,2332547,0,1201745,48,home,0,27539,540,0,fair,1
APP-10041,26,salaried,3,1906566,0,947383,12,vehicle,578969,104533,777,0,excellent,0
APP-10042,47,salaried,24,381922,0,2464620,48,vehicle,378845,68055,605,1,poor,1
APP-10043,55,self,34,1225006,0,1194773,48,vehicle,362457,38455,714,0,good,0
APP-10044,29,other,8,413105,0,2532578,60,other,683971,67329,738,0,excellent,0
APP-10045,32,salaried,6,1673016,191361,1465579,120,vehicle,882335,40394,731,0,good,0
APP-10046,51,salaried,3,1767840,55975,2783657,12,home,0,255168,504,1,fair,1
APP-10047,29,salaried,1,1214209,0,1124763,120,education,646745,30071,417,2,fair,1
APP-10048,27,salaried,4,1874151,123981,368752,60,other,0,6760,548,0,poor,1
APP-10049,28,self,9,472256,244593,2824621,36,home,367806,97545,312,2,poor,1
APP-10050,48,other,20,2228286,0,1876565,24,other,692054,107155,576,0,poor,1
APP-10051,50,salaried,17,1651843,0,413490,36,vehicle,497282,27828,883,0,excellent,0
APP-10052,42,salaried,10,1062691,0,1538243,120,education,933082,42610,582,0,fair,1
APP-10053,26,salaried,6,2349244,0,1057991,84,vehicle,524663,29885,758,0,excellent,0
APP-10054,39,salaried,7,1584321,0,1597783,48,business,456173,50553,863,0,excellent,0
APP-10055,38,salaried,7,806067,0,1373504,12,other,809213,150629,489,0,poor,1
APP-10056,58,other,33,1486982,0,864188,36,personal,326950,36395,314,2,fair,1
APP-10057,24,salaried,5,829654,0,2108894,12,home,502198,208659,790,0,excellent,0
APP-10058,24,salaried,6,2303741,54258,1730688,48,home,729796,61960,354,0,poor,1
APP-10059,26,other,1,2045560,0,2643834,24,business,962635,150588,753,0,excellent,1
APP-10060,48,salaried,19,552624,0,466215,120,personal,287501,13057,383,0,fair,0
APP-10061,31,salaried,7,2270955,141360,1258399,84,education,0,16479,764,0,excellent,0
APP-10062,37,self,18,1129713,0,2334060,24,other,288535,115793,445,0,fair,1
APP-10063,59,self,36,1510520,0,2015861,84,education,998467,56906,578,0,fair,1
APP-10064,59,salaried,27,1651914,0,158485,12,personal,0,14527,889,0,excellent,0
APP-10065,64,self,36,468743,0,784803,48,business,970571,47641,584,0,fair,1
APP-10066,52,other,30,1759454,0,1396615,84,home,0,18289,637,0,fair,1
APP-10067,56,salaried,5,1619180,80776,1745233,120,business,0,15997,301,1,poor,1
APP-10068,24,salaried,2,2390831,0,266475,24,education,982735,42241,594,0,fair,1
APP-10069,22,other,4,1303686,0,1353380,60,home,107736,28102,530,2,poor,1
APP-10070,28,self,2,2390338,0,1274156,60,other,885271,50408,794,0,good,0
APP-10071,50,salaried,24,1099477,0,2181716,84,personal,0,28570,582,1,poor,1
APP-10072,53,salaried,0,1486312,0,2511795,60,other,165813,51115,757,0,excellent,0
APP-10073,42,salaried,17,1882133,0,1399632,120,personal,0,12829,544,0,fair,1
APP-10074,23,salaried,3,1898999,99746,2127558,12,personal,628849,214240,639,1,poor,1
APP-10075,27,salaried,7,364372,0,1769574,120,other,0,16221,376,1,poor,1
APP-10076,60,self,41,636866,0,2878460,120,business,342043,36836,799,0,good,0
APP-10077,60,salaried,40,1505354,0,429078,48,home,0,9833,402,1,poor,1
APP-10078,23,salaried,0,1530473,245803,660563,24,business,724919,52425,484,0,fair,1
APP-10079,60,self,31,900279,153157,1977578,36,other,853718,86510,776,0,good,0
APP-10080,31,salaried,5,1554743,0,1829680,84,education,326797,33945,503,2,poor,1
APP-10081,36,salaried,11,1540978,0,1288287,12,other,18491,118657,879,0,good,0
APP-10082,59,self,18,1265186,0,1527741,24,other,272801,78356,440,1,poor,1
APP-10083,23,salaried,3,439940,0,601181,12,education,445686,68726,479,1,poor,1
APP-10084,54,salaried,17,990149,272627,1287912,84,education,0,16865,779,0,good,0
APP-10085,35,self,12,1834171,226870,108379,36,business,396490,15425,568,0,poor,1
APP-10086,27,self,7,404960,0,2404713,36,business,76287,75807,775,0,good,0
APP-10087,62,salaried,8,490198,0,1326597,48,home,940358,59134,850,0,excellent,0
APP-10088,44,self,23,2057945,0,698116,48,other,523117,31982,717,0,fair,0
APP-10089,23,self,1,2159683,0,1040328,120,education,728987,31810,676,0,fair,1
APP-10090,24,salaried,1,812374,0,1957222,12,other,680556,200206,321,0,poor,1
APP-10091,57,salaried,35,1168880,0,1027267,36,personal,0,31388,302,1,poor,1
APP-10092,55,salaried,11,761064,0,158129,24,home,836730,32813,543,0,good,1
APP-10093,24,salaried,3,776679,0,2047520,48,education,124351,50721,762,0,excellent,0
APP-10094,23,self,5,2487124,36331,305120,48,vehicle,123206,10756,802,0,excellent,0
APP-10095,25,self,5,922157,164187,2668577,84,business,350981,45669,690,2,good,1
APP-10096,53,self,6,779887,0,2780142,120,business,0,25484,520,0,poor,1
APP-10097,42,self,12,2044787,0,1360922,48,education,402483,43485,456,1,poor,1
APP-10098,26,salaried,1,1862994,0,2383588,12,business,0,218495,875,0,excellent,0
APP-10099,47,salaried,21,2073925,0,265780,36,business,118633,11745,891,0,excellent,0
APP-10100,63,salaried,6,1768484,0,1591662,12,education,856432,172070,739,0,fair,0
APP-10101,60,self,35,410116,0,2809144,120,other,199179,31836,579,1,fair,1
APP-10102,43,salaried,4,1981011,36073,434859,84,business,450226,19450,764,0,excellent,0
APP-10103,40,self,18,656335,0,702549,24,business,95544,35119,578,0,fair,1
APP-10104,49,salaried,13,2448936,245398,515105,36,other,520271,31636,839,0,excellent,0
APP-10105,35,salaried,1,332241,130747,625604,120,education,135812,9883,307,1,poor,1
APP-10106,45,salaried,7,2398252,0,2851997,120,education,913625,54059,343,1,poor,1
APP-10107,41,salaried,18,1996272,0,1801935,36,home,350544,65770,475,2,poor,1
APP-10108,26,salaried,1,1320543,0,1729608,60,home,335346,41955,647,0,poor,1
APP-10109,53,self,33,2438893,203173,1522619,84,other,0,19939,541,0,fair,0
APP-10110,59,salaried,41,616054,279059,1995960,120,business,0,18296,759,0,excellent,0
APP-10111,62,self,39,1655633,0,2680740,36,personal,501699,97240,752,0,excellent,0
APP-10112,58,salaried,32,611178,256933,207736,12,education,0,19042,378,1,poor,1
APP-10113,60,salaried,24,2240753,0,222061,48,business,347145,15695,787,0,excellent,0
APP-10114,49,salaried,21,653702,0,773764,12,personal,0,70928,749,0,good,0
APP-10115,31,salaried,4,1924942,0,1469214,84,business,671532,39758,642,0,good,0
APP-10116,39,salaried,21,930711,94149,1517254,36,other,420997,59223,432,1,poor,1
APP-10117,56,salaried,21,836005,0,2924836,60,home,453973,67492,820,0,excellent,0
APP-10118,40,salaried,6,1733329,0,2089568,24,personal,0,95771,458,0,poor,1
APP-10119,53,self,33,458324,0,2642211,24,business,180128,126604,485,2,poor,1
APP-10120,49,salaried,23,1296273,0,2611022,36,other,0,79781,539,0,fair,1
APP-10121,33,salaried,14,2236426,0,1651689,60,business,179930,35777,504,1,good,1
APP-10122,24,self,6,1856976,0,480292,84,business,0,6289,591,0,good,1
APP-10123,53,salaried,27,684674,0,981294,120,vehicle,0,8995,327,1,poor,1
APP-10124,36,salaried,2,1872497,187082,465584,120,other,839822,29928,449,0,poor,1
APP-10125,65,self,45,2267590,0,72025,12,home,885522,33659,453,1,poor,1
APP-10126,48,salaried,9,1296735,45034,1050087,48,other,0,24064,768,0,excellent,0
APP-10127,59,salaried,40,2461642,0,652204,36,vehicle,379954,31537,546,0,good,0
APP-10128,54,other,4,2427886,0,2179123,60,home,502972,55318,344,1,poor,1
APP-10129,22,salaried,0,1746206,74349,2490679,84,education,379412,44209,859,0,excellent,0
APP-10130,32,self,10,2248769,0,2057105,84,personal,0,26938,364,2,poor,1
APP-10131,39,salaried,6,475766,182569,2211675,48,business,48399,52162,495,1,poor,1
APP-10132,62,salaried,7,1843584,0,1727812,84,vehicle,0,22626,695,0,excellent,0
APP-10133,44,other,16,1418707,0,1830480,12,vehicle,872287,194447,484,1,poor,1
APP-10134,41,self,9,2170306,0,1837260,24,other,478849,98838,343,2,poor,1
APP-10135,48,salaried,25,540577,232971,1573837,60,other,42653,30156,446,2,poor,1
APP-10136,23,salaried,1,1836492,36979,2587951,24,other,398984,130805,680,0,excellent,1
APP-10137,54,salaried,20,1468909,79479,158688,84,personal,415785,14782,875,0,excellent,0
APP-10138,49,salaried,18,2360242,91160,360596,48,personal,0,8263,755,0,good,0
APP-10139,63,salaried,4,1517867,0,710624,84,other,0,9305,478,2,poor,1
APP-10140,33,self,7,2372078,213415,2010442,120,business,937199,47065,388,0,poor,1
APP-10141,54,salaried,26,609332,186213,2744163,12,vehicle,552491,268429,652,0,fair,1
APP-10142,61,salaried,8,2114532,0,282418,120,home,328897,12637,468,0,poor,1
APP-10143,43,other,16,1491384,0,1101114,24,other,0,50467,581,0,fair,1
APP-10144,26,salaried,2,946737,197009,2413985,12,home,682612,242138,890,0,excellent,0
APP-10145,57,salaried,1,2388923,0,2338317,36,other,0,71448,794,0,excellent,0
APP-10146,40,salaried,22,551293,237905,2081096,48,personal,160647,52599,620,1,fair,1
APP-10147,46,salaried,11,2459983,0,1388469,24,vehicle,481435,78348,553,0,good,0
APP-10148,60,salaried,10,1673365,0,1361621,24,personal,549728,79204,778,0,excellent,0
APP-10149,52,salaried,25,2419987,0,1059689,24,business,62995,50493,588,0,poor,1
APP-10150,64,salaried,34,334298,0,1857442,24,education,0,85132,712,0,good,0
APP-10151,24,salaried,1,1820534,0,358414,48,business,586566,26135,586,1,fair,1
APP-10152,28,salaried,1,1952151,197778,2389716,36,personal,543853,89636,711,0,good,0
APP-10153,23,salaried,2,2287026,0,674702,60,business,986610,42515,626,0,poor,1
APP-10154,58,salaried,32,2354565,0,1307412,48,home,716537,51855,412,2,poor,1
APP-10155,22,salaried,2,1254385,0,2497474,48,personal,766215,80645,689,0,good,0
APP-10156,57,other,7,1100207,184465,1806491,24,vehicle,440311,96250,813,0,excellent,0
APP-10157,24,self,4,1169654,0,2827580,48,business,191594,70652,770,0,good,0
APP-10158,55,salaried,16,2330798,149247,1220237,60,education,322071,32212,595,1,fair,1
APP-10159,41,salaried,17,1446964,219069,1704789,120,education,0,15627,449,1,poor,1
APP-10160,43,other,20,1375603,0,947525,24,business,599318,61740,578,0,fair,1
APP-10161,36,salaried,16,1246535,0,270163,12,vehicle,505351,40205,402,1,fair,1
APP-10162,31,salaried,7,2302564,0,1254793,36,education,962040,67735,391,1,poor,1
APP-10163,32,salaried,13,1037311,0,202420,120,vehicle,0,1855,490,2,poor,1
APP-10164,23,salaried,4,750051,0,1455268,36,vehicle,0,44466,856,0,excellent,0
APP-10165,53,salaried,12,772474,260603,2769105,36,other,782399,108517,645,1,fair,1
APP-10166,32,self,10,2000749,0,2211243,36,home,110018,70926,489,2,poor,1
APP-10167,21,salaried,1,2173744,0,1432548,36,business,0,43772,311,1,poor,1
APP-10168,24,self,3,1586839,283465,1354336,84,home,996327,48178,602,0,fair,0
APP-10169,51,salaried,23,2044182,0,2024796,120,business,0,18560,523,1,fair,1
APP-10170,26,salaried,8,1817435,78829,309032,120,business,0,2832,507,0,good,0
APP-10171,54,salaried,13,2350293,287583,1918489,120,home,548179,34335,725,0,good,0
APP-10172,56,salaried,19,391311,21580,963944,60,home,371264,29016,365,1,fair,1
APP-10173,51,salaried,26,1054896,0,2740750,84,other,0,35890,683,2,good,1
APP-10174,45,salaried,21,857799,0,1508652,12,personal,0,138293,702,0,good,0
APP-10175,21,self,2,2241979,0,2333569,48,business,250820,61140,553,0,good,0
APP-10176,28,salaried,10,2058422,0,115623,24,personal,632795,24634,334,1,poor,1
APP-10177,36,self,12,2141143,133911,286743,24,business,0,13142,539,1,poor,1
APP-10178,57,salaried,20,1293647,95109,2819131,60,personal,298519,60805,362,1,poor,1
APP-10179,61,self,35,2378784,200572,2748263,84,vehicle,0,35989,626,0,fair,0
APP-10180,45,salaried,17,2286081,138145,1311379,120,other,495517,27160,359,1,poor,1
APP-10181,54,salaried,15,1369529,61455,1936542,120,education,769782,41272,495,0,poor,1
APP-10182,59,salaried,4,1089214,0,2514504,84,other,512681,48593,513,1,fair,1
APP-10183,34,other,3,2308739,0,2967668,60,other,969579,84033,545,0,poor,1
APP-10184,50,salaried,22,1593616,288863,2135732,48,home,0,48943,780,0,excellent,0
APP-10185,34,salaried,13,491744,0,978090,84,personal,590189,30841,898,0,excellent,0
APP-10186,39,salaried,10,1264768,148833,2144222,60,other,0,39310,645,0,poor,1
APP-10187,52,salaried,22,1009951,276018,821952,60,other,0,15069,836,0,excellent,0
APP-10188,63,salaried,0,2029698,141337,335078,84,personal,540299,20896,766,0,excellent,0
APP-10189,61,self,39,2326705,0,115983,12,business,22426,11316,317,1,poor,1
APP-10190,22,salaried,3,1051899,70496,2249431,24,personal,562029,120271,558,1,fair,1
APP-10191,26,salaried,6,2225176,0,2974421,24,education,899053,163798,382,1,poor,1
APP-10192,26,salaried,6,2296510,24954,2997946,24,home,464987,151612,639,0,poor,1
APP-10193,54,other,14,1186747,0,2953665,60,vehicle,979051,84065,376,1,poor,1
APP-10194,57,self,11,1619044,128610,2512207,24,other,0,115142,378,1,poor,1
APP-10195,45,self,17,1691375,93374,2941177,84,home,372659,49901,354,0,poor,1
APP-10196,42,self,19,1963893,0,1418922,12,other,482436,144808,802,0,excellent,0
APP-10197,45,salaried,21,1894140,174863,1083685,84,home,171712,19437,689,1,good,0
APP-10198,41,salaried,2,321790,0,1915357,36,education,101537,61626,491,1,poor,1
APP-10199,47,salaried,2,1784424,0,2553683,60,education,0,46817,312,1,poor,1
APP-10200,56,other,15,2485670,219613,760941,24,education,527077,50981,449,0,poor,1
APP-10201,40,salaried,2,1814667,149284,2671581,48,business,490102,76198,409,0,fair,1
APP-10202,42,self,12,1682198,0,1856135,120,other,0,17014,439,1,poor,1
APP-10203,51,salaried,25,1638560,277429,2465412,120,personal,303916,31885,702,0,good,0
APP-10204,33,salaried,5,412894,0,1986183,84,personal,315482,35648,370,2,poor,1
APP-10205,64,salaried,40,1570172,100815,1824727,120,vehicle,636979,36189,790,0,excellent,0
APP-10206,53,other,26,454204,0,1557975,84,business,968819,50004,387,0,poor,1
APP-10207,31,self,0,1976118,0,1440817,120,vehicle,113396,16671,564,0,poor,1
APP-10208,58,self,14,2169730,262778,2900262,60,other,371724,64529,325,1,poor,1
APP-10209,28,self,2,1760996,258725,917664,60,vehicle,112365,20256,748,0,good,0
APP-10210,41,salaried,1,782702,199871,2767782,12,other,0,253713,549,0,fair,1
APP-10211,56,salaried,29,1272472,0,2691406,24,personal,463125,137507,705,0,excellent,0
APP-10212,33,salaried,13,1930895,132615,913122,36,other,0,27900,364,1,poor,1
APP-10213,32,salaried,3,2219105,276630,2263397,84,education,651003,49530,701,0,good,0
APP-10214,43,self,19,1023632,0,1297574,60,business,150454,28385,620,0,fair,0
APP-10215,44,self,16,1929333,0,628257,60,vehicle,520310,27416,850,0,excellent,0
APP-10216,32,salaried,7,1511460,184930,1941635,60,home,0,35596,309,1,fair,1
APP-10217,56,salaried,31,2016033,0,1793280,84,vehicle,96686,26437,878,0,excellent,0
APP-10218,39,salaried,7,1510771,259768,2422509,84,vehicle,128710,35655,886,0,excellent,0
APP-10219,44,salaried,24,474527,0,1901225,60,personal,0,34855,404,2,poor,1
APP-10220,40,self,1,2186314,65604,1891592,120,home,0,17339,542,0,poor,1
APP-10221,60,self,10,883993,0,917980,120,home,568136,25773,587,0,good,0
APP-10222,39,salaried,16,699403,235794,298663,36,other,918149,37179,435,1,poor,1
APP-10223,64,salaried,9,1427081,0,1623586,48,home,932878,65711,395,1,poor,1
APP-10224,50,other,20,310372,0,440664,84,vehicle,741160,28416,666,1,good,1
APP-10225,34,other,6,2374984,168684,1466647,60,business,903829,54504,796,0,excellent,0
APP-10226,23,salaried,3,368288,102828,1900887,48,home,0,43561,738,0,good,0
APP-10227,62,salaried,17,691496,0,1100208,12,education,690432,121948,469,0,poor,1
APP-10228,48,self,22,699229,269984,376898,24,business,723013,39366,755,0,excellent,0
APP-10229,28,other,6,854382,0,1010272,48,home,0,23152,404,0,poor,1
APP-10230,29,salaried,2,899169,24443,2609864,84,personal,767524,57628,518,0,good,1
APP-10231,60,self,13,663595,0,637257,120,home,412686,18450,659,2,good,1
APP-10232,36,salaried,2,1340887,0,2566615,84,business,997002,64073,327,2,poor,1
APP-10233,34,salaried,16,1091240,0,1289593,84,home,0,16887,545,0,good,0
APP-10234,61,salaried,33,350612,0,1377382,24,vehicle,0,63130,882,0,excellent,0
APP-10235,64,salaried,30,606149,55406,107853,36,personal,73406,5537,707,0,good,0
APP-10236,53,self,27,1987273,100048,1213784,12,education,975659,141074,508,2,good,1
APP-10237,46,salaried,24,577306,249368,1050917,12,personal,465589,110560,418,1,poor,1
APP-10238,63,self,11,800980,91938,2992302,12,personal,373546,285707,835,0,excellent,0
APP-10239,31,salaried,11,1427279,0,545165,120,home,460179,19058,578,0,fair,1
APP-10240,61,salaried,29,2442374,281939,2427692,24,education,820894,136351,405,2,poor,1
APP-10241,35,self,0,484708,0,101539,24,home,411583,17229,453,0,poor,1
APP-10242,56,self,26,1241685,238238,1391905,36,home,135200,46661,814,0,excellent,0
APP-10243,32,salaried,8,492638,0,339098,48,education,0,7770,618,0,fair,0
APP-10244,44,salaried,18,1574688,0,1067471,48,education,527326,40574,500,1,fair,1
APP-10245,30,salaried,6,400286,201625,2717333,120,other,0,24908,643,0,fair,0
APP-10246,27,salaried,3,2060835,0,301218,24,other,56032,15517,537,1,fair,1
APP-10247,50,other,5,700879,0,2722676,120,vehicle,605403,43455,363,1,poor,1
APP-10248,39,salaried,10,1948162,0,1418398,36,vehicle,88315,46037,507,0,poor,1
APP-10249,30,salaried,7,2254776,83300,2297830,36,personal,495854,85362,571,1,good,1
APP-10250,65,self,13,1674866,150138,1542093,48,business,323357,45219,566,1,good,1
APP-10251,49,salaried,15,697306,0,636334,12,home,828895,83657,527,0,poor,1
APP-10252,64,self,41,652486,0,1135572,120,home,77603,12780,502,2,fair,1
APP-10253,26,other,5,813918,261694,262389,24,business,769620,35542,704,0,good,0
APP-10254,64,salaried,22,1200584,0,1203357,36,vehicle,0,36769,335,1,poor,1
APP-10255,39,salaried,17,2309201,166683,1656482,24,vehicle,937625,104571,838,0,excellent,0
APP-10256,22,other,2,2311942,0,2082893,36,business,417247,76392,576,0,fair,1
APP-10257,22,self,2,545749,0,2028387,60,education,0,37187,538,2,good,1
APP-10258,38,salaried,1,1220278,0,1679162,36,personal,631301,70596,625,1,fair,1
APP-10259,22,self,2,896020,0,839509,120,vehicle,194084,13625,802,0,excellent,0
APP-10260,35,self,0,2304831,125625,597312,36,other,851403,44266,631,0,good,0
APP-10261,28,self,5,604219,227406,2507932,12,education,153079,234570,461,2,poor,1
APP-10262,52,self,11,1796634,111934,1637057,36,other,143534,54406,481,2,poor,1
APP-10263,46,self,24,435823,186837,2614318,24,other,992188,150138,808,0,excellent,0
APP-10264,36,salaried,10,1004170,0,422143,120,other,774711,27540,643,0,fair,0
APP-10265,65,salaried,16,753129,0,251945,48,vehicle,0,5773,470,2,poor,1
APP-10266,43,salaried,3,2311123,0,2474540,84,other,483209,47168,375,2,fair,1
APP-10267,41,salaried,3,611219,216848,724882,84,home,951751,38573,395,1,poor,1
APP-10268,22,salaried,1,2121168,73088,1438711,24,personal,591028,83999,853,0,excellent,0
APP-10269,40,salaried,1,1947951,0,2109186,24,home,458377,110676,389,1,poor,1
APP-10270,51,salaried,1,1168023,172993,393664,48,home,426774,22061,782,0,excellent,0
APP-10271,26,self,6,1075448,219987,1599382,24,vehicle,471101,87699,776,0,excellent,0
APP-10272,57,salaried,6,659482,0,2321001,48,business,73946,55448,696,1,good,1
APP-10273,64,self,30,1288354,0,381161,48,other,608967,27341,829,0,good,0
APP-10274,30,salaried,12,2183409,107642,938731,120,personal,453940,22475,380,2,poor,1
APP-10275,30,self,4,1641126,0,331068,12,vehicle,588870,48340,633,1,fair,1
APP-10276,65,self,33,2059904,98455,671594,60,business,995294,42723,402,2,poor,1
APP-10277,39,self,11,2023397,274586,2449239,60,vehicle,298792,54031,712,0,excellent,0
APP-10278,64,self,2,1960075,0,1440386,84,personal,508302,34393,575,1,good,1
APP-10279,40,salaried,15,711953,0,1006122,24,education,0,46113,753,0,excellent,0
APP-10280,38,self,19,674496,130829,1757796,84,vehicle,0,23018,682,1,good,0
APP-10281,25,salaried,6,868956,0,2249015,60,home,927693,69577,505,1,fair,1
APP-10282,24,other,5,1135126,263384,2168653,48,other,0,49698,331,1,poor,1
APP-10283,32,other,7,1766999,155612,2939248,12,education,62062,271327,466,2,poor,1
APP-10284,35,self,6,1428618,0,2202857,12,other,965793,231438,435,1,poor,1
APP-10285,35,salaried,9,1455021,0,1629052,120,education,238808,22228,777,0,excellent,0
APP-10286,60,salaried,6,330817,0,2828120,120,education,632615,45253,589,0,good,1
APP-10287,42,other,20,1663723,0,1145329,84,other,0,14998,605,0,fair,0
APP-10288,24,self,6,1994911,0,2905296,24,other,531533,149400,602,0,fair,1
APP-10289,23,salaried,4,1096561,136582,2928626,60,other,0,53691,667,0,fair,1
APP-10290,32,salaried,7,836636,0,2394748,120,personal,0,21951,643,0,fair,0
APP-10291,40,salaried,10,1858949,174167,1995153,120,home,918479,46352,897,0,excellent,0
APP-10292,25,salaried,3,2399154,220104,2272303,36,vehicle,905735,97106,454,0,poor,1
APP-10293,57,self,29,900725,114558,388947,48,education,195413,14883,620,0,good,0
APP-10294,34,self,5,964525,0,419272,24,business,460268,33279,713,0,good,0
APP-10295,45,salaried,17,1136403,0,109043,36,business,719621,25319,304,1,poor,1
APP-10296,40,salaried,12,2411146,0,750533,12,home,314955,78421,766,0,excellent,0
APP-10297,54,salaried,8,1737525,0,2105958,36,personal,960947,93710,713,0,excellent,0
APP-10298,29,salaried,0,2416586,212199,2778564,120,home,681425,46291,561,1,fair,1
APP-10299,24,self,5,382802,80707,1798083,48,vehicle,275015,49609,785,0,excellent,0
APP-10300,65,self,0,1562973,0,473540,84,business,645053,25910,440,1,poor,1
APP-10301,60,salaried,7,745702,0,2604338,24,education,0,119365,506,0,fair,1
APP-10302,23,salaried,1,2316050,21435,103474,84,home,0,1355,887,0,excellent,0
APP-10303,26,self,1,724843,0,2752544,24,vehicle,0,126158,603,0,good,0
APP-10304,23,self,2,1611588,0,536124,12,home,155117,53883,474,1,poor,1
APP-10305,38,self,2,1862890,0,817009,12,vehicle,488715,89824,578,1,fair,1
APP-10306,47,self,25,999520,50747,718552,12,vehicle,0,65867,794,0,good,0
APP-10307,32,self,12,1804072,0,2920850,120,other,0,26774,433,1,poor,1
APP-10308,49,salaried,16,1618009,295155,2468641,84,business,712382,54094,646,0,fair,0
APP-10309,27,salaried,3,2321359,221786,673501,120,business,0,6173,355,0,poor,1
APP-10310,51,self,10,614007,0,1394835,24,education,0,63929,351,1,poor,1
APP-10311,46,self,2,2225582,0,2453482,48,home,0,56225,757,0,excellent,0
APP-10312,62,salaried,25,2029473,20088,431243,120,business,0,3953,611,1,fair,1
APP-10313,63,salaried,21,1823968,0,984986,120,vehicle,814694,33922,784,0,excellent,0
APP-10314,49,salaried,14,309214,173083,2347180,60,education,0,43031,346,2,poor,1
APP-10315,27,salaried,3,1086614,225990,954247,48,personal,0,21868,410,2,fair,1
APP-10316,64,salaried,28,2218423,0,2164757,24,vehicle,781976,123111,349,1,poor,1
APP-10317,51,other,11,1028342,0,588472,12,vehicle,645605,73669,629,0,fair,1
APP-10318,65,self,17,1968787,0,1283853,48,personal,641792,49031,824,0,excellent,0
APP-10319,41,self,17,1211600,172347,2929856,36,other,754904,112589,482,1,poor,1
APP-10320,28,self,8,2314817,0,2848260,84,vehicle,947286,66242,846,0,excellent,0
APP-10321,21,salaried,0,1897485,49677,888451,36,personal,0,27147,556,0,good,1
APP-10322,34,self,1,1804423,0,479832,60,other,0,8796,529,1,fair,1
APP-10323,53,self,18,497047,0,1675522,48,other,588944,56392,355,0,poor,1
APP-10324,49,self,23,1124051,0,861588,36,vehicle,725819,48503,376,0,fair,1
APP-10325,28,salaried,6,1470681,0,595538,24,business,0,27295,305,1,poor,1
