age,emp_type,emp_exp,income,add_income,loan_amt,loan_term,loan_purpose,debt,emi,credit,defaults,repay_status,risk_score,source,timestamp
48,self,23,1396421,155691,1348529,48,Personal / Consumption,228275,3832,893,0,excellent,2,bootstrap,2026-08-04T09:33:38.091855+00:00
24,salaried,15,1515353,0,1004280,240,Home purchase,892697,12178,370,0,good,27,bootstrap,2026-08-04T09:33:38.091902+00:00
46,salaried,28,1186516,0,4906325,12,Business / MSME working capital,85965,27474,897,0,excellent,12,bootstrap,2026-08-04T09:33:38.091949+00:00
34,self,10,1293730,0,3370092,36,Debt consolidation,676856,19660,768,0,fair,42,bootstrap,2026-08-04T09:33:38.091996+00:00
21,salaried,18,504267,0,2305002,48,Business / MSME working capital,139041,8680,657,1,fair,77,bootstrap,2026-08-04T09:33:38.092042+00:00
39,salaried,26,1749908,0,10312249,240,Home purchase,627842,6788,437,0,fair,57,bootstrap,2026-08-04T09:33:38.092094+00:00
38,salaried,6,851995,0,1757898,60,Business / MSME working capital,256131,16457,352,0,good,67,bootstrap,2026-08-04T09:33:38.092141+00:00
23,salaried,24,1360480,0,1405447,180,Business / MSME working capital,739945,28028,874,0,excellent,2,bootstrap,2026-08-04T09:33:38.092233+00:00
55,salaried,11,825178,0,3655312,36,Home purchase,161616,23897,340,1,excellent,77,bootstrap,2026-08-04T09:33:38.092290+00:00
63,salaried,24,1246603,156770,5256486,36,Vehicle,170395,11603,722,0,fair,42,bootstrap,2026-08-04T09:33:38.092340+00:00
47,self,27,1593286,0,2720896,24,Education,914533,2537,781,0,fair,32,bootstrap,2026-08-04T09:33:38.092388+00:00
43,salaried,25,2130651,0,447023,48,Education,688415,18258,371,2,excellent,52,bootstrap,2026-08-04T09:33:38.092435+00:00
46,self,26,2336602,0,513060,24,Personal / Consumption,374483,38049,571,0,good,37,bootstrap,2026-08-04T09:33:38.092482+00:00
41,salaried,16,1649916,40315,9723542,48,Personal / Consumption,46542,28577,301,0,fair,87,bootstrap,2026-08-04T09:33:38.092540+00:00
44,salaried,30,1026425,0,5277406,84,Debt consolidation,130679,19681,819,0,good,32,bootstrap,2026-08-04T09:33:38.092588+00:00
65,salaried,4,1887789,60289,11205664,120,Debt consolidation,364961,37296,608,0,fair,95,bootstrap,2026-08-04T09:33:38.092634+00:00
39,salaried,25,1474543,0,7851207,180,Education,708446,14005,823,0,poor,47,bootstrap,2026-08-04T09:33:38.092681+00:00
63,salaried,16,911737,0,833388,48,Debt consolidation,325498,14722,503,0,excellent,37,bootstrap,2026-08-04T09:33:38.092727+00:00
60,self,2,2192866,129384,10615709,48,Debt consolidation,805261,32399,709,0,good,50,bootstrap,2026-08-04T09:33:38.092782+00:00
27,self,7,223256,56107,155315,240,Vehicle,31813,29914,436,1,good,87,bootstrap,2026-08-04T09:33:38.092830+00:00
49,self,23,1530844,142324,7531188,36,Debt consolidation,903342,31108,760,0,excellent,22,bootstrap,2026-08-04T09:33:38.092881+00:00
54,salaried,7,1363128,81984,699977,60,Vehicle,284913,22010,627,1,excellent,37,bootstrap,2026-08-04T09:33:38.092938+00:00
35,salaried,4,832629,0,588790,120,Education,173477,35560,777,0,excellent,10,bootstrap,2026-08-04T09:33:38.092986+00:00
45,other,18,1962209,0,9708481,120,Education,12364,23052,605,1,fair,98,bootstrap,2026-08-04T09:33:38.093037+00:00
55,self,17,1957502,0,8241131,48,Personal / Consumption,914014,31827,329,0,good,77,bootstrap,2026-08-04T09:33:38.093085+00:00
31,self,29,1895827,0,6660562,12,Home purchase,898866,8893,772,0,excellent,22,bootstrap,2026-08-04T09:33:38.093132+00:00
34,salaried,10,1573016,0,7122684,60,Home purchase,493152,1270,852,0,poor,47,bootstrap,2026-08-04T09:33:38.093213+00:00
62,salaried,30,1140455,0,6376966,12,Vehicle,209044,1335,456,0,good,77,bootstrap,2026-08-04T09:33:38.093280+00:00
57,other,14,679784,0,3266603,84,Vehicle,317662,39796,417,1,excellent,97,bootstrap,2026-08-04T09:33:38.093336+00:00
27,self,29,1504591,91777,6704757,48,Home purchase,620859,15915,404,0,excellent,67,bootstrap,2026-08-04T09:33:38.093393+00:00
57,self,11,707741,149655,3158573,24,Business / MSME working capital,339499,22362,312,1,fair,98,bootstrap,2026-08-04T09:33:38.093442+00:00
48,other,20,642662,0,1876565,36,Debt consolidation,273545,17700,851,1,good,62,bootstrap,2026-08-04T09:33:38.093491+00:00
41,self,26,1325732,0,7445658,180,Vehicle,786931,30455,883,0,good,42,bootstrap,2026-08-04T09:33:38.093536+00:00
52,self,5,320376,0,794121,60,Personal / Consumption,73310,39069,582,0,good,85,bootstrap,2026-08-04T09:33:38.093582+00:00
26,salaried,13,1001348,0,5843251,180,Debt consolidation,514663,29371,317,0,excellent,67,bootstrap,2026-08-04T09:33:38.093629+00:00
40,self,11,1220495,0,3619384,240,Personal / Consumption,368900,29736,577,0,excellent,57,bootstrap,2026-08-04T09:33:38.093684+00:00
41,salaried,17,1007757,0,1656762,48,Debt consolidation,507719,18120,837,0,poor,37,bootstrap,2026-08-04T09:33:38.093735+00:00
39,salaried,5,1014188,0,5989289,240,Vehicle,287636,2982,355,0,good,55,bootstrap,2026-08-04T09:33:38.093789+00:00
61,self,15,729654,0,2435211,180,Education,230932,22328,488,2,excellent,98,bootstrap,2026-08-04T09:33:38.093836+00:00
28,self,12,2203741,0,9730808,12,Vehicle,312890,36886,611,0,excellent,67,bootstrap,2026-08-04T09:33:38.093882+00:00
59,self,19,1945560,69162,7608378,180,Personal / Consumption,899321,20013,882,0,good,22,bootstrap,2026-08-04T09:33:38.093929+00:00
34,self,8,616215,0,708745,48,Vehicle,289402,4919,460,0,good,57,bootstrap,2026-08-04T09:33:38.093976+00:00
39,salaried,9,2170955,0,11844174,180,Home purchase,489525,17337,502,0,good,67,bootstrap,2026-08-04T09:33:38.094029+00:00
38,self,2,824906,0,2630434,60,Education,65197,30716,611,0,poor,98,bootstrap,2026-08-04T09:33:38.094080+00:00
55,salaried,2,2299132,0,7298238,84,Business / MSME working capital,525059,1695,393,0,good,65,bootstrap,2026-08-04T09:33:38.094128+00:00
64,self,18,287012,0,1036711,240,Debt consolidation,115927,18229,485,2,good,98,bootstrap,2026-08-04T09:33:38.094210+00:00
26,salaried,13,2262447,0,11292974,24,Vehicle,691648,26977,807,0,poor,47,bootstrap,2026-08-04T09:33:38.094273+00:00
50,salaried,8,353918,0,2084624,120,Business / MSME working capital,301,35559,773,0,excellent,22,bootstrap,2026-08-04T09:33:38.094330+00:00
60,self,20,1717412,0,3465140,60,Business / MSME working capital,137377,18876,748,1,good,62,bootstrap,2026-08-04T09:33:38.094378+00:00
61,self,7,321087,0,701690,240,Home purchase,144769,26738,395,0,fair,87,bootstrap,2026-08-04T09:33:38.094441+00:00
50,other,20,675890,50362,3961830,60,Business / MSME working capital,369838,17919,725,1,poor,98,bootstrap,2026-08-04T09:33:38.094490+00:00
50,self,12,1222281,0,7297983,24,Personal / Consumption,435098,22274,819,0,excellent,32,bootstrap,2026-08-04T09:33:38.094537+00:00
58,self,21,1452233,0,7541822,240,Education,361888,21786,865,1,good,52,bootstrap,2026-08-04T09:33:38.094583+00:00
33,other,7,1549632,159893,3968527,120,Home purchase,333632,30996,690,0,good,57,bootstrap,2026-08-04T09:33:38.094630+00:00
52,other,4,837975,0,891919,180,Home purchase,275749,29945,315,0,good,75,bootstrap,2026-08-04T09:33:38.094676+00:00
25,salaried,8,847437,98751,723733,84,Debt consolidation,450542,34971,689,2,good,72,bootstrap,2026-08-04T09:33:38.094723+00:00
55,salaried,2,2246600,0,3866586,24,Education,206450,6586,754,0,excellent,10,bootstrap,2026-08-04T09:33:38.094777+00:00
23,salaried,1,321413,0,836098,120,Vehicle,64014,34810,721,0,fair,58,bootstrap,2026-08-04T09:33:38.094824+00:00
32,salaried,27,912963,0,4224735,36,Vehicle,483550,16644,770,0,excellent,12,bootstrap,2026-08-04T09:33:38.094869+00:00
39,self,5,2151413,29362,5847629,60,Debt consolidation,889840,16390,767,1,excellent,50,bootstrap,2026-08-04T09:33:38.094916+00:00
51,salaried,12,1813520,0,9693743,60,Debt consolidation,619143,1437,705,0,good,42,bootstrap,2026-08-04T09:33:38.094962+00:00
59,self,26,405706,0,1527741,48,Debt consolidation,49841,16425,440,0,poor,98,bootstrap,2026-08-04T09:33:38.095009+00:00
40,self,1,365350,0,601181,24,Personal / Consumption,85647,27230,479,0,fair,93,bootstrap,2026-08-04T09:33:38.095056+00:00
54,salaried,8,1734517,0,8134065,60,Debt consolidation,912677,22198,417,0,excellent,57,bootstrap,2026-08-04T09:33:38.095103+00:00
64,self,12,1146296,0,807515,120,Home purchase,277304,35164,426,0,good,57,bootstrap,2026-08-04T09:33:38.095149+00:00
58,salaried,20,1299584,0,5710939,48,Education,26240,36792,635,1,excellent,77,bootstrap,2026-08-04T09:33:38.095240+00:00
61,self,29,465151,0,2773107,120,Home purchase,73283,2971,338,0,good,87,bootstrap,2026-08-04T09:33:38.095294+00:00
36,self,4,607652,111881,1606135,240,Education,307935,10126,724,0,fair,30,bootstrap,2026-08-04T09:33:38.095343+00:00
38,salaried,11,1911762,66955,7510758,48,Personal / Consumption,208361,24073,857,1,good,42,bootstrap,2026-08-04T09:33:38.095390+00:00
46,salaried,30,453965,42023,434506,48,Debt consolidation,11197,3314,641,0,excellent,17,bootstrap,2026-08-04T09:33:38.095437+00:00
25,self,17,1060694,0,2004534,84,Vehicle,624932,185,583,1,excellent,47,bootstrap,2026-08-04T09:33:38.095529+00:00
55,salaried,5,745226,0,1155645,12,Personal / Consumption,414179,15593,631,0,excellent,55,bootstrap,2026-08-04T09:33:38.095620+00:00
47,salaried,23,731663,26661,3810405,84,Business / MSME working capital,311251,7146,762,0,poor,57,bootstrap,2026-08-04T09:33:38.095677+00:00
63,salaried,14,381886,0,305120,180,Education,111745,7075,802,0,good,2,bootstrap,2026-08-04T09:33:38.095727+00:00
41,self,2,538859,0,2668577,240,Debt consolidation,170490,24962,843,0,good,40,bootstrap,2026-08-04T09:33:38.095784+00:00
27,self,3,2004386,0,7265376,180,Vehicle,867829,22212,764,0,fair,40,bootstrap,2026-08-04T09:33:38.095832+00:00
48,salaried,8,1510922,0,8006894,24,Home purchase,872176,5594,395,0,fair,87,bootstrap,2026-08-04T09:33:38.095878+00:00
29,self,18,1762994,0,2100700,120,Personal / Consumption,886962,3371,594,0,good,37,bootstrap,2026-08-04T09:33:38.095926+00:00
34,salaried,15,2328242,0,5923938,240,Personal / Consumption,240931,18256,887,0,good,2,bootstrap,2026-08-04T09:33:38.095973+00:00
59,other,26,310116,0,110719,36,Personal / Consumption,184208,20249,647,0,excellent,67,bootstrap,2026-08-04T09:33:38.096020+00:00
57,self,2,800840,0,819719,240,Vehicle,197234,27514,764,0,good,20,bootstrap,2026-08-04T09:33:38.096074+00:00
57,self,28,1560560,0,2690899,12,Debt consolidation,85544,17832,753,0,good,22,bootstrap,2026-08-04T09:33:38.096120+00:00
47,salaried,24,2054067,0,5841039,120,Home purchase,594010,38871,798,0,excellent,12,bootstrap,2026-08-04T09:33:38.096198+00:00
46,other,1,1124921,0,2578488,48,Vehicle,267931,18969,635,0,good,98,bootstrap,2026-08-04T09:33:38.096268+00:00
32,salaried,17,2006298,0,8443009,240,Debt consolidation,742742,4723,706,1,excellent,12,bootstrap,2026-08-04T09:33:38.096346+00:00
50,other,27,278607,92066,1252506,120,Debt consolidation,109495,18973,417,0,poor,98,bootstrap,2026-08-04T09:33:38.096443+00:00
60,salaried,22,920888,0,3713403,24,Vehicle,456839,38592,710,0,good,32,bootstrap,2026-08-04T09:33:38.096503+00:00
42,salaried,24,1501385,0,8614488,24,Business / MSME working capital,534723,12707,657,0,poor,82,bootstrap,2026-08-04T09:33:38.096551+00:00
36,salaried,8,819456,0,1332364,24,Vehicle,405194,32382,775,1,fair,42,bootstrap,2026-08-04T09:33:38.096599+00:00
64,other,18,2082845,0,10572961,84,Vehicle,922249,4475,780,0,excellent,42,bootstrap,2026-08-04T09:33:38.096646+00:00
58,salaried,16,1352064,0,3923376,180,Home purchase,59653,24165,593,0,fair,67,bootstrap,2026-08-04T09:33:38.096693+00:00
60,self,12,578730,0,1936319,48,Personal / Consumption,317197,31170,813,0,excellent,22,bootstrap,2026-08-04T09:33:38.096748+00:00
42,other,2,634118,0,214173,48,Debt consolidation,229511,28797,836,0,excellent,30,bootstrap,2026-08-04T09:33:38.096796+00:00
39,salaried,24,1763854,0,5664484,24,Personal / Consumption,198193,36566,695,0,fair,57,bootstrap,2026-08-04T09:33:38.096843+00:00
42,salaried,21,830711,0,2652412,120,Vehicle,311972,5552,617,0,good,57,bootstrap,2026-08-04T09:33:38.096890+00:00
29,self,26,1577730,0,7153580,240,Personal / Consumption,19116,23763,616,0,excellent,57,bootstrap,2026-08-04T09:33:38.096936+00:00
33,salaried,4,2239568,0,5012567,24,Business / MSME working capital,1131981,34506,338,0,fair,85,bootstrap,2026-08-04T09:33:38.096983+00:00
59,salaried,5,749659,0,3721470,12,Education,190997,15566,754,0,fair,40,bootstrap,2026-08-04T09:33:38.097056+00:00
35,salaried,9,2082940,0,6221347,180,Education,590918,25026,814,0,poor,17,bootstrap,2026-08-04T09:33:38.097122+00:00
59,salaried,8,1037592,23678,3163952,240,Home purchase,540970,8170,591,0,excellent,27,bootstrap,2026-08-04T09:33:38.097203+00:00
53,salaried,13,2084581,0,7618671,84,Home purchase,870101,3490,705,0,excellent,22,bootstrap,2026-08-04T09:33:38.097268+00:00
44,salaried,10,542278,0,662575,36,Home purchase,150407,30962,442,1,good,77,bootstrap,2026-08-04T09:33:38.097320+00:00
26,salaried,6,222025,49195,283175,60,Vehicle,78944,7985,348,0,good,57,bootstrap,2026-08-04T09:33:38.097367+00:00
25,salaried,28,2117273,0,10652444,240,Business / MSME working capital,507381,9409,598,0,good,47,bootstrap,2026-08-04T09:33:38.097414+00:00
57,salaried,21,1208999,0,4441306,84,Home purchase,551613,35656,819,1,good,42,bootstrap,2026-08-04T09:33:38.097460+00:00
45,self,1,285288,176637,832871,60,Debt consolidation,4257,23402,369,0,fair,98,bootstrap,2026-08-04T09:33:38.097506+00:00
58,self,10,634797,0,1527649,240,Personal / Consumption,337010,11474,775,2,good,37,bootstrap,2026-08-04T09:33:38.097552+00:00
29,salaried,24,964529,0,2511574,48,Home purchase,209159,2746,623,2,good,98,bootstrap,2026-08-04T09:33:38.097599+00:00
51,salaried,24,2477635,0,4850144,84,Home purchase,1375168,21753,579,0,good,47,bootstrap,2026-08-04T09:33:38.097644+00:00
49,self,12,1877812,0,8374908,180,Personal / Consumption,1089000,17479,384,0,excellent,57,bootstrap,2026-08-04T09:33:38.097690+00:00
55,salaried,3,956889,0,5594192,60,Personal / Consumption,467576,39493,736,0,good,50,bootstrap,2026-08-04T09:33:38.097736+00:00
23,self,29,2075397,102421,4656274,12,Home purchase,851884,23809,825,1,good,52,bootstrap,2026-08-04T09:33:38.097792+00:00
30,self,21,330613,0,314723,24,Vehicle,169125,24007,670,0,good,47,bootstrap,2026-08-04T09:33:38.097838+00:00
64,salaried,11,843566,107521,694961,36,Business / MSME working capital,192387,26085,621,0,excellent,47,bootstrap,2026-08-04T09:33:38.097890+00:00
22,self,15,675837,145723,3881674,240,Home purchase,137246,17058,756,0,good,32,bootstrap,2026-08-04T09:33:38.097937+00:00
33,salaried,27,2260242,29412,2946693,180,Home purchase,670224,22768,366,0,excellent,17,bootstrap,2026-08-04T09:33:38.097984+00:00
31,self,29,1458109,0,6114832,240,Vehicle,127257,13171,442,0,good,47,bootstrap,2026-08-04T09:33:38.098030+00:00
56,self,14,1713709,0,1496455,24,Personal / Consumption,417500,31369,838,0,good,22,bootstrap,2026-08-04T09:33:38.098076+00:00
29,other,20,509332,29441,2003846,240,Personal / Consumption,67284,36130,486,1,excellent,97,bootstrap,2026-08-04T09:33:38.098122+00:00
24,self,16,2309163,0,2812487,36,Personal / Consumption,472845,22676,831,1,fair,52,bootstrap,2026-08-04T09:33:38.098197+00:00
33,self,17,1251114,0,5293067,60,Business / MSME working capital,559392,6122,814,0,good,32,bootstrap,2026-08-04T09:33:38.098260+00:00
31,self,23,846737,0,4777970,12,Home purchase,42584,2979,890,0,excellent,32,bootstrap,2026-08-04T09:33:38.098310+00:00
60,self,15,1947291,0,10819417,60,Education,513546,26613,604,0,good,87,bootstrap,2026-08-04T09:33:38.098357+00:00
49,salaried,14,863037,0,5139035,36,Personal / Consumption,451666,20926,653,2,excellent,82,bootstrap,2026-08-04T09:33:38.098403+00:00
53,self,10,1754158,73370,2105576,60,Education,519923,9232,399,0,poor,62,bootstrap,2026-08-04T09:33:38.098463+00:00
36,other,28,1953784,0,9741980,84,Vehicle,334165,32654,827,0,fair,52,bootstrap,2026-08-04T09:33:38.098516+00:00
22,salaried,12,2286122,142499,4088756,48,Business / MSME working capital,740074,3188,351,0,good,47,bootstrap,2026-08-04T09:33:38.098593+00:00
39,salaried,27,2173784,38179,2297055,60,Debt consolidation,767091,26427,674,0,excellent,17,bootstrap,2026-08-04T09:33:38.098672+00:00
44,self,2,1016443,111279,4662535,60,Business / MSME working capital,124582,8432,399,0,fair,95,bootstrap,2026-08-04T09:33:38.098754+00:00
56,other,24,1622226,0,8591658,120,Business / MSME working capital,42210,2969,339,0,excellent,87,bootstrap,2026-08-04T09:33:38.098818+00:00
54,salaried,19,2187026,0,5552353,84,Vehicle,824085,19610,644,0,good,57,bootstrap,2026-08-04T09:33:38.098890+00:00
57,salaried,26,2254565,0,5607278,24,Education,1224112,20163,327,0,excellent,57,bootstrap,2026-08-04T09:33:38.098974+00:00
24,self,5,1154385,147424,1289632,48,Home purchase,600383,7202,495,0,excellent,35,bootstrap,2026-08-04T09:33:38.099056+00:00
47,self,13,835148,141548,572453,36,Business / MSME working capital,108706,36758,632,2,good,98,bootstrap,2026-08-04T09:33:38.099143+00:00
41,other,14,1780517,0,9214943,84,Debt consolidation,554407,39981,795,0,excellent,42,bootstrap,2026-08-04T09:33:38.099284+00:00
35,other,9,1451996,0,8254110,84,Education,365746,36732,580,0,good,97,bootstrap,2026-08-04T09:33:38.099375+00:00
45,self,12,2478307,0,4922986,12,Personal / Consumption,165736,22699,752,0,fair,32,bootstrap,2026-08-04T09:33:38.099428+00:00
33,self,8,1097525,0,1201529,24,Business / MSME working capital,615336,15681,548,0,poor,92,bootstrap,2026-08-04T09:33:38.099475+00:00
61,salaried,3,1146535,0,6067635,180,Home purchase,144144,339,863,2,excellent,55,bootstrap,2026-08-04T09:33:38.099576+00:00
51,self,24,2195228,0,4838474,12,Home purchase,1204044,15218,847,0,fair,42,bootstrap,2026-08-04T09:33:38.099626+00:00
32,salaried,26,356440,0,1803645,120,Education,48840,18970,338,0,good,77,bootstrap,2026-08-04T09:33:38.099674+00:00
42,salaried,20,650051,152422,3779826,36,Business / MSME working capital,245377,17880,497,1,excellent,87,bootstrap,2026-08-04T09:33:38.099721+00:00
62,salaried,5,2124826,0,4999685,48,Vehicle,850374,28029,827,0,good,30,bootstrap,2026-08-04T09:33:38.099778+00:00
32,other,15,600074,0,78647,60,Education,123480,29277,573,2,excellent,98,bootstrap,2026-08-04T09:33:38.099826+00:00
37,self,22,247964,0,1450448,24,Education,80427,10467,715,0,poor,77,bootstrap,2026-08-04T09:33:38.099872+00:00
65,salaried,29,1504336,0,3755235,48,Vehicle,501410,10039,765,0,good,22,bootstrap,2026-08-04T09:33:38.099919+00:00
65,salaried,15,1944182,0,4201780,24,Business / MSME working capital,936898,34614,670,0,good,47,bootstrap,2026-08-04T09:33:38.099973+00:00
56,other,6,459032,0,740118,84,Business / MSME working capital,231651,7617,510,0,good,67,bootstrap,2026-08-04T09:33:38.100020+00:00
49,self,14,2340669,44588,7713806,12,Business / MSME working capital,969677,20196,322,0,fair,87,bootstrap,2026-08-04T09:33:38.100068+00:00
58,salaried,13,1113944,0,4589608,12,Home purchase,495002,2079,593,0,fair,77,bootstrap,2026-08-04T09:33:38.100115+00:00
44,other,12,1963125,127581,6352286,24,Debt consolidation,1130994,8715,656,0,poor,92,bootstrap,2026-08-04T09:33:38.100162+00:00
54,salaried,7,1848607,0,5055700,180,Debt consolidation,889460,34860,688,1,excellent,47,bootstrap,2026-08-04T09:33:38.100259+00:00
30,salaried,29,1651899,0,7083690,12,Vehicle,216092,4409,403,0,good,67,bootstrap,2026-08-04T09:33:38.100310+00:00
36,self,12,404163,0,2313916,48,Home purchase,36735,33023,596,0,poor,98,bootstrap,2026-08-04T09:33:38.100357+00:00
57,self,21,1537579,0,5112767,36,Debt consolidation,546571,14486,723,0,excellent,32,bootstrap,2026-08-04T09:33:38.100405+00:00
61,self,17,934561,0,2939160,120,Business / MSME working capital,334217,27284,718,0,good,42,bootstrap,2026-08-04T09:33:38.100452+00:00
51,salaried,7,2456234,0,13568680,180,Home purchase,1179408,27045,726,0,excellent,32,bootstrap,2026-08-04T09:33:38.100499+00:00
37,salaried,20,1218622,30727,7156269,84,Home purchase,561654,12483,352,0,good,77,bootstrap,2026-08-04T09:33:38.100546+00:00
25,salaried,24,365874,0,2060725,48,Personal / Consumption,79478,1004,516,2,poor,98,bootstrap,2026-08-04T09:33:38.100593+00:00
51,other,22,692059,0,1713595,48,Business / MSME working capital,168618,18550,689,0,good,67,bootstrap,2026-08-04T09:33:38.100639+00:00
37,salaried,28,1493616,140358,1704371,180,Personal / Consumption,212994,24294,620,0,good,27,bootstrap,2026-08-04T09:33:38.100685+00:00
30,salaried,17,1128090,163100,2526252,36,Vehicle,345888,15074,688,0,excellent,37,bootstrap,2026-08-04T09:33:38.100731+00:00
37,self,15,1615847,199676,7781427,36,Debt consolidation,833592,23080,473,0,good,77,bootstrap,2026-08-04T09:33:38.100786+00:00
55,other,30,971952,0,673528,12,Home purchase,432424,9010,536,0,excellent,67,bootstrap,2026-08-04T09:33:38.100832+00:00
53,salaried,1,1117376,171961,5580477,180,Home purchase,6933,34879,864,0,excellent,28,bootstrap,2026-08-04T09:33:38.100878+00:00
55,other,0,1352346,141652,6812624,36,Home purchase,100992,34366,452,0,good,98,bootstrap,2026-08-04T09:33:38.100925+00:00
43,salaried,12,1258718,0,3456004,180,Business / MSME working capital,255021,14801,607,0,fair,47,bootstrap,2026-08-04T09:33:38.100971+00:00
26,salaried,12,332894,154887,167681,12,Debt consolidation,44927,5418,811,1,good,22,bootstrap,2026-08-04T09:33:38.101017+00:00
57,other,3,1589449,0,3904842,48,Debt consolidation,930668,37144,786,0,poor,75,bootstrap,2026-08-04T09:33:38.101081+00:00
55,self,1,1375969,0,181349,48,Business / MSME working capital,151195,26102,378,0,good,53,bootstrap,2026-08-04T09:33:38.101164+00:00
64,self,10,1832241,0,1365798,240,Debt consolidation,725319,3519,400,0,fair,47,bootstrap,2026-08-04T09:33:38.101261+00:00
59,self,30,1628549,166135,5525691,12,Debt consolidation,286604,29527,802,0,good,32,bootstrap,2026-08-04T09:33:38.101312+00:00
48,salaried,18,1774654,183191,1487708,60,Vehicle,154154,5376,574,0,fair,37,bootstrap,2026-08-04T09:33:38.101360+00:00
45,salaried,3,847084,0,2635934,180,Personal / Consumption,399164,17679,404,0,excellent,55,bootstrap,2026-08-04T09:33:38.101407+00:00
56,self,13,2082586,0,1553554,84,Business / MSME working capital,195169,39120,632,1,excellent,47,bootstrap,2026-08-04T09:33:38.101454+00:00
45,self,23,1935645,0,9645903,240,Vehicle,798452,11108,442,0,excellent,37,bootstrap,2026-08-04T09:33:38.101501+00:00
25,salaried,8,812095,0,4112026,24,Personal / Consumption,131963,16160,807,0,excellent,22,bootstrap,2026-08-04T09:33:38.101547+00:00
29,salaried,30,648674,0,3579982,120,Personal / Consumption,230803,21937,740,1,fair,72,bootstrap,2026-08-04T09:33:38.101594+00:00
40,salaried,30,770947,0,4068224,84,Vehicle,208792,20915,598,0,good,77,bootstrap,2026-08-04T09:33:38.101647+00:00
41,salaried,26,1216801,0,1005360,48,Business / MSME working capital,572133,11791,863,0,fair,2,bootstrap,2026-08-04T09:33:38.101694+00:00
49,self,26,1079329,0,3482128,180,Vehicle,317543,15861,558,0,fair,77,bootstrap,2026-08-04T09:33:38.101750+00:00
25,salaried,19,1781214,135628,9015197,240,Debt consolidation,877240,35628,337,1,good,87,bootstrap,2026-08-04T09:33:38.101798+00:00
59,self,2,2451946,0,11082724,84,Vehicle,1356857,2903,876,2,good,75,bootstrap,2026-08-04T09:33:38.101845+00:00
42,other,13,1876118,0,1704343,60,Vehicle,1070965,33999,871,0,good,22,bootstrap,2026-08-04T09:33:38.101891+00:00
44,salaried,24,2069730,0,5837592,12,Education,219255,19361,725,2,excellent,57,bootstrap,2026-08-04T09:33:38.101937+00:00
43,salaried,14,794228,64229,2971754,180,Home purchase,229725,29651,626,0,excellent,57,bootstrap,2026-08-04T09:33:38.101984+00:00
22,self,20,682702,0,3950377,48,Business / MSME working capital,91463,36169,463,0,good,87,bootstrap,2026-08-04T09:33:38.102031+00:00
35,self,20,2137995,0,10795452,120,Education,61220,12931,760,0,good,42,bootstrap,2026-08-04T09:33:38.102077+00:00
